"answer_id","question_id","answer_text","drink_id","points"
"movie-sheepdetective","movie-summer","The Sheep Detective — low stakes, weird premise, exactly the vibe you need right now","bikini-blonde","3"
"bar-darling","marina-bar","Bar Darling — wine list memorized, seat by the window, correct as always","mai-tai","3"
"bar-monaghans","marina-bar","Monaghan's — loud, chaotic, someone's getting a number by 10pm. Possibly you","tequila","2"
"bar-monaghans","marina-bar","Monaghan's — loud, chaotic, someone's getting a number by 10pm. Possibly you","miami-vice","1"
"bar-balboa","marina-bar","Balboa Cafe — a classic for a reason. You respect the institution","mai-tai","2"
"bar-balboa","marina-bar","Balboa Cafe — a classic for a reason. You respect the institution","bikini-blonde","1"
"bar-parttime","marina-bar","Bar Part Time — new, photogenic, you found it before it was cool","lava-flow","2"
"bar-parttime","marina-bar","Bar Part Time — new, photogenic, you found it before it was cool","mai-tai","1"
"bar-jaxson","marina-bar","Jaxson — rooftop energy, golden hour photo, zero regrets","blue-hawaii","2"
"bar-jaxson","marina-bar","Jaxson — rooftop energy, golden hour photo, zero regrets","miami-vice","1"
"bar-whiterabbit","marina-bar","White Rabbit — a little weird, a little cool, exactly your speed","lava-flow","2"
"bar-whiterabbit","marina-bar","White Rabbit — a little weird, a little cool, exactly your speed","modelo","1"
"bar-comet","marina-bar","Comet Club — dive bar loyalty. You don't need the view, you need the vibe","modelo","2"
"bar-comet","marina-bar","Comet Club — dive bar loyalty. You don't need the view, you need the vibe","bikini-blonde","1"
"rest-littlejoes","marina-restaurant","Little Original Joe's — these espresso martinis don't drink themselves. Go-to spot to be seen, even when the waiter's rushing you","mai-tai","2"
"rest-littlejoes","marina-restaurant","Little Original Joe's — these espresso martinis don't drink themselves. Go-to spot to be seen, even when the waiter's rushing you","lava-flow","1"
"rest-superduper","marina-restaurant","Super Duper Burgers — before Monaghan's, during Monaghan's, or after Monaghan's. Never wrong","modelo","1"
"rest-superduper","marina-restaurant","Super Duper Burgers — before Monaghan's, during Monaghan's, or after Monaghan's. Never wrong","tequila","2"
"rest-izzys","marina-restaurant","Izzy's Steakhouse — a classic, even better post-renovation","mai-tai","3"
"rest-mamanoko","marina-restaurant","Mamanoko — best sushi in the neighborhood, hands down. Sorry, Ace Wasabi","bikini-blonde","1"
"rest-mamanoko","marina-restaurant","Mamanoko — best sushi in the neighborhood, hands down. Sorry, Ace Wasabi","mai-tai","2"
"rest-causwells","marina-restaurant","Causwell's — smash burgers before they were cool","lava-flow","2"
"rest-causwells","marina-restaurant","Causwell's — smash burgers before they were cool","modelo","1"
"rest-delarosa","marina-restaurant","Delarosa — a Bee's Knees and a spicy pizzetta, please","miami-vice","2"
"rest-delarosa","marina-restaurant","Delarosa — a Bee's Knees and a spicy pizzetta, please","lava-flow","1"
"tv-loveisland","tv","Love Island — you have strong pool opinions and zero chill about recouplings","miami-vice","3"
"tv-traitors","tv","Traitors — you're plotting, you're charming, you might backstab a friend for content","tequila","1"
"tv-traitors","tv","Traitors — you're plotting, you're charming, you might backstab a friend for content","mai-tai","2"
"tv-sports","tv","Whatever sporting event is on — you don't care what's playing, you just want a beer and a couch","bikini-blonde","3"
"tv-summerhouse","tv","Summer House — rosé, drama, a group house you'd 100% ruin your friendships to be in","lava-flow","2"
"tv-summerhouse","tv","Summer House — rosé, drama, a group house you'd 100% ruin your friendships to be in","miami-vice","1"
"tv-euphoria","tv","Euphoria — dark, dramatic, you'll need a minute after every episode","tequila","3"
"tv-houseofdragon","tv","House of the Dragon — epic, a little extra, you have a seating-chart-level grasp of the family tree","mai-tai","2"
"tv-houseofdragon","tv","House of the Dragon — epic, a little extra, you have a seating-chart-level grasp of the family tree","blue-hawaii","1"
"dog-golden","dog","Golden Retriever — golden retriever energy, and yes, that's a personality type","mai-tai","3"
"dog-doodle","dog","Doodle (any variety) — expensive, adorable, definitely has its own Instagram","lava-flow","2"
"dog-doodle","dog","Doodle (any variety) — expensive, adorable, definitely has its own Instagram","mai-tai","1"
"dog-bernese","dog","Burmese Mountain Dog — big, fluffy, chill. You'd carry a full backpack for this dog","bikini-blonde","2"
"dog-bernese","dog","Burmese Mountain Dog — big, fluffy, chill. You'd carry a full backpack for this dog","modelo","1"
"dog-corgi","dog","Corgi — short legs, big attitude, absolute main character","miami-vice","2"
"dog-corgi","dog","Corgi — short legs, big attitude, absolute main character","blue-hawaii","1"
"dog-terrier","dog","English Terrier — scrappy, opinionated, will absolutely bite the vibe if provoked","modelo","1"
"dog-terrier","dog","English Terrier — scrappy, opinionated, will absolutely bite the vibe if provoked","tequila","2"
"dog-chihuahua","dog","Chihuahua — tiny, chaotic, will start a fight it can't finish. Iconic","tequila","3"
"maui-scuba","maui-day","Scuba diving — all in, no half measures. You brought your own gear","blue-hawaii","2"
"maui-scuba","maui-day","Scuba diving — all in, no half measures. You brought your own gear","bikini-blonde","1"
"maui-hike","maui-day","Hike to a waterfall — a little sweat, a great photo, back in time for happy hour","bikini-blonde","2"
"maui-hike","maui-day","Hike to a waterfall — a little sweat, a great photo, back in time for happy hour","mai-tai","1"
"maui-beach","maui-day","Beach day — chair, book, ocean. The assignment, completed correctly","mai-tai","2"
"maui-beach","maui-day","Beach day — chair, book, ocean. The assignment, completed correctly","bikini-blonde","1"
"maui-cabana","maui-day","Cabana by the pool — poolside, photo-ready, ordering a second round before the first is empty","lava-flow","3"
"maui-foodtour","maui-day","Food tour — you want to taste everything and have opinions about all of it","miami-vice","3"
"maui-golf","maui-day","Golf day — nine holes, a cart, and a beer you found off-property. Naturally","modelo","3"
"wed-vows","wedding-part","The vows — you're already crying and the ceremony hasn't started","tequila","3"
"wed-cocktail","wedding-part","Cocktail hour — peak social hour, peak outfit, peak ""you look amazing""","mai-tai","2"
"wed-cocktail","wedding-part","Cocktail hour — peak social hour, peak outfit, peak ""you look amazing""","miami-vice","1"
"wed-cake","wedding-part","Cake cutting — you already have your phone up before they've picked up the knife","lava-flow","3"
"wed-dance","wedding-part","The dance floor — the moment you've been waiting for. God help the dance floor","tequila","2"
"wed-dance","wedding-part","The dance floor — the moment you've been waiting for. God help the dance floor","miami-vice","1"
"wed-openbar","wedding-part","Open bar — next question. You already know the answer","bikini-blonde","2"
"wed-openbar","wedding-part","Open bar — next question. You already know the answer","modelo","1"
"wed-food","wedding-part","Reception food — you came for the vows, you stayed for the short rib","modelo","1"
"wed-food","wedding-part","Reception food — you came for the vows, you stayed for the short rib","bikini-blonde","2"
"jam-despacito","jam","Despacito — you don't speak Spanish but you know every word. Every single one","blue-hawaii","2"
"jam-despacito","jam","Despacito — you don't speak Spanish but you know every word. Every single one","miami-vice","1"
"jam-hottogo","jam","Hot to Go — full choreography, no shame, main character hours","lava-flow","2"
"jam-hottogo","jam","Hot to Go — full choreography, no shame, main character hours","blue-hawaii","1"
"jam-brightside","jam","Mr. Brightside — scientifically required. You know every scream","mai-tai","3"
"jam-lovestory","jam","Love Story — you'll cry-sing this one and mean every word","tequila","3"
"jam-cupidshuffle","jam","Cupid Shuffle — you're doing the steps wrong and don't care. Group chaos, activated","miami-vice","2"
"jam-cupidshuffle","jam","Cupid Shuffle — you're doing the steps wrong and don't care. Group chaos, activated","blue-hawaii","1"
"jam-nobrokeboys","jam","No Broke Boys — confident, a little savage, definitely has a type (solvent)","modelo","2"
"jam-nobrokeboys","jam","No Broke Boys — confident, a little savage, definitely has a type (solvent)","tequila","1"
"team-bride","team","Team Bride — bridal party energy. You'll defend her to the death (and the dance floor)","miami-vice","1"
"team-bride","team","Team Bride — bridal party energy. You'll defend her to the death (and the dance floor)","lava-flow","1"
"team-groom","team","Team Groom — groomsman loyalty. You'll grab him a beer without being asked","modelo","1"
"team-groom","team","Team Groom — groomsman loyalty. You'll grab him a beer without being asked","mai-tai","1"
